CASEID,hunt_fish,scientists,education,ideology,urbanrural
207887,0,85,3,2,small town
207894,0,75,3,3,city
207900,1,100,2,,suburb
207924,1,45,6,6,rural
207931,1,70,6,4,suburb
207948,,,6,6,
207955,1,70,1,,small town
207962,0,60,3,4,city
207979,0,70,6,3,rural
207986,0,100,,2,suburb
207993,0,100,2,,small town
208002,0,100,2,,city
208019,0,80,7,3,suburb
208026,0,70,1,,city
208033,1,60,4,5,rural
208040,0,90,7,3,city
208057,0,85,6,6,suburb
208088,0,100,3,4,suburb
208095,0,80,1,6,suburb
208101,0,85,6,5,small town
208132,0,98,8,2,suburb
208149,1,50,8,6,city
208156,1,85,3,3,suburb
208163,0,2,3,4,small town
208170,0,85,7,2,city
208187,0,100,3,4,rural
208194,0,100,6,5,suburb
208200,0,70,6,2,city
208217,1,85,3,6,city
208231,0,50,5,,rural
208248,1,100,3,2,rural
208255,0,40,2,,rural
208262,0,100,7,,suburb
208279,0,85,2,7,small town
208286,0,70,2,5,rural
208293,0,85,7,,small town
208309,1,100,6,4,rural
208316,0,60,7,7,suburb
208323,0,100,3,5,rural
208330,0,100,6,2,small town
208347,0,75,6,,rural
208354,1,70,3,4,small town
208361,0,100,8,1,city
208378,0,100,4,1,small town
208385,0,100,3,2,suburb
208408,0,60,2,7,suburb
208415,1,80,2,6,small town
208422,0,70,6,6,suburb
208439,1,86,3,6,rural
208446,,,7,2,
208453,0,40,3,5,small town
208484,1,50,6,7,rural
208491,0,85,7,1,city
208507,0,70,3,7,small town
208514,1,70,6,6,suburb
208521,0,100,3,4,small town
208538,,,1,4,
208545,0,85,6,4,suburb
208552,,,7,,
208569,0,60,5,2,city
208576,1,50,8,6,rural
208583,0,85,7,2,rural
208590,,,3,6,
208606,,,2,4,
208613,0,100,3,4,city
208644,,,2,2,
208651,1,70,4,2,city
208668,0,85,6,6,rural
208675,1,100,6,6,suburb
208682,1,70,6,6,small town
208705,0,70,1,,city
208712,0,40,,6,city
208736,1,100,4,5,small town
208743,1,50,6,4,city
208750,0,70,6,7,suburb
208767,0,60,3,6,small town
208774,0,50,7,,city
208781,1,100,7,5,suburb
208798,0,40,1,,rural
208804,0,100,5,4,small town
208811,0,60,6,4,suburb
208859,0,70,7,5,city
208866,1,85,3,,suburb
208873,0,85,8,3,suburb
208880,1,75,4,7,rural
208897,0,50,2,7,rural
208903,0,90,3,6,city
208927,,,7,3,
208934,0,100,6,4,city
208941,0,100,5,6,small town
208958,0,60,6,6,suburb
208965,0,80,6,3,suburb
208972,1,50,5,6,suburb
208989,1,85,6,2,small town
208996,0,80,2,6,small town
209005,1,100,1,,rural
209012,0,70,6,3,suburb
209029,0,6,2,,small town
209036,0,70,2,7,small town
209043,0,60,4,1,city
209050,0,100,7,2,small town
209067,0,100,3,4,suburb
209074,0,85,3,3,suburb
209081,1,70,2,,rural
209111,0,85,6,6,small town
209128,0,95,3,2,small town
209135,0,100,6,1,city
209142,1,85,4,4,rural
209159,0,50,6,,small town
209173,1,100,3,6,small town
